Mar 2, 2014|Sunday|98|37|24|18|15|15|28|53|104|148|245|298|414|425|482|446|468|409|391|272|172|151|89|58|4860|407|West
Mar 3, 2014|Monday|39|13|9|13|8|50|117|233|304|287|253|317|325|370|403|730|885|1031|699|410|320|245|148|53|7262|407|West
Mar 4, 2014|Tuesday|33|17|5|7|13|63|133|218|259|282|291|321|358|417|471|663|939|1020|723|453|383|315|145|80|7609|407|West
Mar 5, 2014|Wednesday|32|17|6|12|14|58|142|242|286|270|296|330|382|443|431|736|898|1043|720|473|377|344|140|92|7784|407|West
Mar 6, 2014|Thursday|48|14|11|14|15|51|153|234|279|294|275|329|367|404|491|734|906|1012|713|477|398|303|190|93|7805|407|West
Mar 7, 2014|Friday|49|22|10|12|11|62|140|244|291|242|296|373|392|475|567|748|971|919|599|401|344|320|221|155|7864|407|West
Mar 8, 2014|Saturday|99|40|35|12|7|30|53|105|134|243|304|412|419|518|523|571|603|518|457|359|285|283|276|156|6442|407|West
Mar 9, 2014|Sunday|71|55|34|17|19|20|49|79|145|230|277|389|467|471|493|498|458|385|356|248|204|132|62|31|5190|407|West
Mar 10, 2014|Monday|0|19|11|8|12|49|119|211|285|292|302|341|366|410|490|713|962|1027|689|423|361|247|154|93|7584|407|West
Mar 11, 2014|Tuesday|39|16|12|12|12|53|137|235|291|289|282|339|341|440|541|756|917|1086|780|495|364|311|210|100|8058|407|West
Mar 12, 2014|Wednesday|40|14|12|12|8|50|152|237|282|302|293|334|374|414|543|714|914|1009|765|479|412|333|214|107|8014|407|West
Mar 13, 2014|Thursday|51|24|16|10|16|62|144|225|271|305|306|374|366|464|516|723|928|980|725|522|443|329|248|100|8148|407|West
Mar 14, 2014|Friday|55|25|16|16|12|54|142|274|278|267|290|383|420|484|558|818|875|951|639|460|370|301|265|143|8096|407|West
Mar 15, 2014|Saturday|76|41|22|17|8|23|56|95|172|270|306|376|473|500|530|521|509|518|478|363|296|294|240|204|6388|407|West
Mar 16, 2014|Sunday|93|56|32|19|12|24|23|54|88|173|232|312|387|451|443|464|537|436|356|306|237|184|94|48|5061|407|West
Mar 17, 2014|Monday|27|19|10|7|15|55|132|206|237|253|244|245|303|366|451|573|886|979|632|409|342|246|144|78|6859|407|West
Mar 18, 2014|Tuesday|37|19|12|11|12|60|133|203|227|257|274|311|361|390|467|643|868|1008|599|382|323|263|103|57|7020|407|West
Mar 19, 2014|Wednesday|29|14|9|10|23|57|138|198|259|290|274|300|312|384|473|648|882|966|642|458|399|275|137|82|7259|407|West
Mar 20, 2014|Thursday|44|24|11|11|11|54|125|198|273|281|320|379|383|466|476|676|849|978|745|478|395|331|200|82|7790|407|West
Mar 21, 2014|Friday|41|26|10|13|16|53|138|220|257|283|287|377|418|479|590|706|924|889|599|440|361|278|216|133|7754|407|West
Mar 22, 2014|Saturday|83|35|33|13|12|21|46|80|137|242|316|380|430|479|505|546|487|461|456|343|279|246|230|152|6012|407|West
Mar 23, 2014|Sunday|85|54|29|13|11|21|26|52|99|178|216|307|379|431|458|473|452|472|365|305|219|171|88|44|4948|407|West
Mar 24, 2014|Monday|16|10|13|9|15|48|128|231|234|243|288|315|316|362|469|635|875|1001|667|396|320|239|119|60|7009|407|West
Mar 25, 2014|Tuesday|37|20|12|9|11|58|143|215|270|306|271|354|375|439|504|610|909|996|662|446|361|298|162|81|7549|407|West
