DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY,RETIRED
"Feb 2, 2012",Thursday,598,451,280,233,478,1282,3047,5598,5339,3801,3311,3965,4322,4629,4651,5346,5989,5860,4815,3394,3037,2729,1904,976,76035,326,False,West,326,Hennepin,False
"Feb 3, 2012",Friday,622,407,407,260,376,1180,3015,5599,5134,3743,3597,4255,4651,4713,4985,5532,5902,5587,4361,3069,2355,2236,2452,1615,76053,326,False,West,326,Hennepin,False
"Feb 4, 2012",Saturday,1125,906,848,377,309,357,632,1342,1969,2566,3091,3980,4406,4202,4259,4530,4318,3922,3407,2457,2001,2805,3037,1931,58777,326,False,West,326,Hennepin,False
"Feb 5, 2012",Sunday,1371,1089,1074,425,248,278,455,731,1141,1651,2562,3219,3905,3512,3376,3502,3832,2884,1439,1258,1057,2422,1274,674,43379,326,False,West,326,Hennepin,False
"Feb 6, 2012",Monday,385,239,254,239,432,1189,2947,5784,5089,3421,3160,3544,3961,3968,4446,5155,5409,5874,4720,3102,2737,2328,1246,773,70402,326,False,West,326,Hennepin,False
"Feb 7, 2012",Tuesday,412,250,216,193,468,1269,3179,6003,5290,3549,3138,3876,4096,4360,4885,5392,5596,5794,4887,3305,2721,3531,2244,968,75622,326,False,West,326,Hennepin,False
"Feb 8, 2012",Wednesday,473,328,258,203,474,1295,3120,5877,5380,3674,3558,4001,4349,4414,4709,5497,5342,5789,5193,3516,3097,2798,1829,920,76094,326,False,West,326,Hennepin,False
"Feb 9, 2012",Thursday,497,365,273,222,482,1256,3015,5820,5488,3769,3355,4032,4349,4768,4955,5531,5813,5730,4814,3420,3632,3400,2332,1066,78384,326,False,West,326,Hennepin,False
"Feb 10, 2012",Friday,631,431,392,241,383,1207,2963,5713,5096,3726,3666,4137,4575,5015,4983,5496,5521,5367,4414,3104,2401,3010,2811,1754,77037,326,False,West,326,Hennepin,False
"Feb 11, 2012",Saturday,1230,875,778,361,277,415,643,1246,1886,2466,3139,3774,4317,4221,4172,4459,4271,3912,3486,2467,2088,2821,3080,1983,58367,326,False,West,326,Hennepin,False
"Feb 12, 2012",Sunday,1293,1106,982,467,263,312,445,717,1147,1624,2528,3264,4094,3731,3415,3367,3417,3176,2513,2099,1618,1537,1121,695,44931,326,False,West,326,Hennepin,False
"Feb 13, 2012",Monday,465,250,234,183,464,1192,2782,5996,5144,3475,3180,3708,3950,4157,4519,5270,5624,4585,3924,3066,2544,2395,1367,811,69285,326,False,West,326,Hennepin,False
"Feb 14, 2012",Tuesday,436,273,251,190,487,1252,3069,5459,5548,3743,3259,4053,4347,4314,4802,5619,6146,5892,4379,3051,2606,2974,2185,1114,75449,326,False,West,326,Hennepin,False
"Feb 15, 2012",Wednesday,630,366,299,214,452,1239,3133,5928,5385,3711,3418,3962,4212,4522,4539,5288,5919,5567,4882,3742,3167,3742,1850,1019,77186,326,False,West,326,Hennepin,False
"Feb 16, 2012",Thursday,563,404,296,227,457,1288,3041,5830,5303,3803,3355,4179,4363,4539,4914,5425,5637,5572,5009,3626,3088,3255,2339,1154,77667,326,False,West,326,Hennepin,False
"Feb 17, 2012",Friday,665,434,420,235,404,1217,2890,5550,4983,3752,3512,4399,4869,5025,4975,5576,5879,5594,4067,3019,2311,2909,2555,1863,77103,326,False,West,326,Hennepin,False
"Feb 18, 2012",Saturday,1250,897,809,375,279,410,647,1266,1954,2441,3084,3838,4456,4346,4272,4426,4510,3978,3343,2575,2060,2625,2788,1777,58406,326,False,West,326,Hennepin,False
"Feb 19, 2012",Sunday,1269,1041,1065,441,214,316,446,813,1162,1619,2538,3193,3753,3829,3550,3212,3188,3247,2716,2156,2650,1943,1383,836,46580,326,False,West,326,Hennepin,False
"Feb 20, 2012",Monday,511,373,320,205,406,1078,2416,4516,4011,3250,3177,3723,4037,4353,4253,4615,5260,5192,3725,2673,2219,1897,1680,986,64876,326,False,West,326,Hennepin,False
"Feb 21, 2012",Tuesday,428,304,203,186,491,1325,3178,5579,4487,3534,3247,3639,3901,4126,4580,5181,6050,5849,4642,3310,2893,2918,1502,856,72409,326,False,West,326,Hennepin,False
"Feb 22, 2012",Wednesday,472,284,266,204,484,1286,3064,5993,5385,3607,3387,4010,4215,4340,4625,5402,6015,6044,4786,3433,3183,3636,2758,1103,77982,326,False,West,326,Hennepin,False
"Feb 23, 2012",Thursday,666,363,291,200,460,1265,3059,6039,5295,3669,3426,4098,4338,4725,4826,5496,6203,6016,4944,3574,3150,2998,2031,1058,78190,326,False,West,326,Hennepin,False
"Feb 24, 2012",Friday,563,413,412,247,445,1221,2987,5684,5271,3770,3563,4262,4613,4735,4978,5594,5945,5667,4187,3041,2288,2398,2100,1540,75924,326,False,West,326,Hennepin,False
"Feb 25, 2012",Saturday,1084,849,787,367,281,403,652,1378,2012,2603,3045,3730,4145,4283,4393,4493,4344,3943,3413,2402,2088,2791,2595,1646,57727,326,False,West,326,Hennepin,False
"Feb 26, 2012",Sunday,1308,1010,976,395,233,304,459,786,1177,1632,2548,3146,3885,3824,3779,3287,3346,2912,2273,2008,1937,1408,1102,742,44477,326,False,West,326,Hennepin,False
"Feb 27, 2012",Monday,402,269,217,211,473,1223,2982,5841,5098,3368,3145,3617,3969,4110,4652,5305,5790,5489,4919,3197,2673,2340,1364,743,71397,326,False,West,326,Hennepin,False
"Feb 28, 2012",Tuesday,458,265,224,194,475,1255,3105,5581,5412,3527,3049,3766,3915,3996,4534,5152,5658,5112,3653,2787,2449,2268,1161,691,68687,326,False,West,326,Hennepin,False
"Feb 29, 2012",Wednesday,405,246,219,188,463,1113,2140,3529,3602,3132,2456,2606,2849,3152,3730,4278,4736,4759,3768,2864,2867,2773,1740,970,58585,326,False,West,326,Hennepin,False
"Mar 1, 2012",Thursday,461,278,289,223,368,1356,3861,5306,4904,4684,3949,4039,4000,4173,4212,4544,4952,4802,4382,3307,2630,2092,1601,951,71364,326,False,East,326,Hennepin,False
"Mar 2, 2012",Friday,464,345,355,206,399,1292,3589,5159,5083,4521,3737,4183,4293,4459,4479,4794,5071,4577,4907,3585,2546,2348,1969,1418,73779,326,False,East,326,Hennepin,False
"Mar 3, 2012",Saturday,843,565,439,193,219,385,945,1615,2826,3634,4368,3859,3737,3606,3715,3492,3507,3776,4406,3263,2240,2263,2141,1525,57562,326,False,East,326,Hennepin,False
"Mar 4, 2012",Sunday,909,585,474,227,169,259,691,939,1956,2607,2782,3142,3633,3676,3488,3394,3768,3437,3002,2173,1899,1479,1007,630,46326,326,False,East,326,Hennepin,False
"Mar 5, 2012",Monday,293,163,156,176,350,1330,3843,5268,5113,4158,3462,3452,3443,3667,3949,4426,4952,4919,4437,2674,2158,1782,1325,723,66219,326,False,East,326,Hennepin,False
"Mar 6, 2012",Tuesday,369,245,238,165,391,1315,4020,5443,5115,4436,3610,3860,3880,4073,4088,4584,4852,4741,4010,2755,2436,2062,1465,842,68995,326,False,East,326,Hennepin,False
"Mar 7, 2012",Wednesday,418,302,252,183,386,1355,3952,5289,5068,4281,3665,3911,3812,3771,4190,4588,5150,5229,4735,3092,2479,2084,1509,811,70512,326,False,East,326,Hennepin,False
