DATE,DAY,1 am,2 am,3 am,4 am,5 am,6 am,7 am,8 am,9 am,10 am,11 am,Noon,1 pm,2 pm,3 pm,4 pm,5 pm,6 pm,7 pm,8 pm,9 pm,10 pm,11 pm,12 mid,TOTAL,Station number,Estimated,Direction,STATION,COUNTY
"Feb 19, 2005",Saturday,86,54,66,33,24,48,88,175,359,566,846,1080,1233,1345,1346,1316,1159,905,822,570,449,343,196,111,13220,110,False,North,110,St Louis
"Feb 20, 2005",Sunday,75,60,45,27,19,20,82,125,176,279,458,580,648,706,689,635,596,499,447,254,220,170,99,80,6989,110,False,North,110,St Louis
"Feb 21, 2005",Monday,35,22,28,20,40,114,157,306,342,572,804,964,1122,1159,1191,1231,1249,1044,740,520,360,227,125,100,12472,110,False,North,110,St Louis
"Feb 22, 2005",Tuesday,51,27,23,15,43,134,202,318,407,546,711,950,976,977,1026,1105,1125,960,711,537,409,256,132,113,11754,110,False,North,110,St Louis
"Feb 23, 2005",Wednesday,42,27,30,24,47,111,203,356,418,580,821,919,1075,1059,1097,1122,1126,1091,754,513,372,308,164,104,12363,110,True,North,110,St Louis
"Feb 24, 2005",Thursday,65,25,42,23,60,110,210,359,416,584,753,927,1131,1077,1128,1165,1195,1076,743,497,408,319,217,116,12646,110,False,North,110,St Louis
"Feb 25, 2005",Friday,60,34,27,22,37,101,200,371,421,603,769,928,1190,1119,1137,1171,1184,960,829,599,510,476,197,153,13098,110,False,North,110,St Louis
"Feb 26, 2005",Saturday,64,37,68,22,35,55,124,195,315,571,898,1056,1201,1305,1324,1245,1095,879,755,560,377,341,216,122,12860,110,False,North,110,St Louis
"Feb 27, 2005",Sunday,78,48,41,28,31,32,81,124,185,290,467,637,773,794,835,778,704,546,435,241,218,132,95,66,7659,110,False,North,110,St Louis
"Feb 28, 2005",Monday,40,18,19,22,46,103,181,349,398,541,691,815,915,901,970,1082,1201,992,717,535,377,266,138,85,11402,110,False,North,110,St Louis
"Feb 1, 2005",Tuesday,56,18,20,29,36,128,360,745,579,690,726,796,946,908,935,936,1002,930,713,573,467,328,200,114,12235,110,False,South,110,St Louis
"Feb 2, 2005",Wednesday,56,25,24,31,40,137,365,767,553,668,699,703,727,940,916,947,1021,903,758,600,479,349,223,121,12052,110,False,South,110,St Louis
"Feb 3, 2005",Thursday,56,27,26,39,43,111,361,738,584,691,726,860,988,917,909,1011,909,914,757,582,472,410,192,151,11557,110,False,South,110,St Louis
"Feb 4, 2005",Friday,83,42,22,27,37,94,331,735,626,685,853,930,1108,1044,1074,1127,1072,1081,905,698,575,473,256,188,14066,110,False,South,110,St Louis
"Feb 5, 2005",Saturday,91,52,34,29,30,37,117,197,317,482,672,985,1109,1061,1241,1213,1149,1085,890,608,502,365,227,159,12652,110,False,South,110,St Louis
"Feb 6, 2005",Sunday,89,38,30,18,26,42,86,96,208,323,538,708,836,951,897,893,824,594,389,254,203,215,119,90,8467,110,False,South,110,St Louis
"Feb 7, 2005",Monday,58,25,23,23,31,90,327,700,609,635,642,772,845,861,901,900,995,912,677,518,394,334,186,92,11550,110,False,South,110,St Louis
"Feb 8, 2005",Tuesday,54,18,18,28,35,94,375,755,598,660,708,844,977,932,883,819,969,958,739,513,396,377,177,116,12043,110,False,South,110,St Louis
"Feb 9, 2005",Wednesday,63,31,17,35,34,114,321,761,599,632,709,791,899,839,913,956,961,904,741,553,463,340,211,141,12028,110,False,South,110,St Louis
"Feb 10, 2005",Thursday,69,32,21,33,36,107,359,720,554,684,703,874,1023,1005,1016,978,1038,977,811,559,410,321,210,143,12683,110,False,South,110,St Louis
"Feb 11, 2005",Friday,69,33,25,31,37,102,322,701,573,705,801,925,1116,1075,1105,1116,1140,1098,930,739,612,515,266,191,14227,110,False,South,110,St Louis
"Feb 12, 2005",Saturday,97,51,32,27,30,49,103,162,289,520,833,1032,1149,1219,1327,1241,1133,1100,836,659,497,408,264,173,13231,110,False,South,110,St Louis
"Feb 13, 2005",Sunday,126,59,30,20,20,31,69,94,193,369,597,746,906,1078,1049,1086,920,849,637,371,296,212,145,86,9989,110,False,South,110,St Louis
"Feb 14, 2005",Monday,65,21,29,24,44,117,318,713,602,638,662,828,971,928,881,1039,1061,1031,781,578,467,325,181,137,12441,110,False,South,110,St Louis
"Feb 15, 2005",Tuesday,52,41,23,30,31,112,359,726,639,673,714,849,952,957,862,953,956,946,690,545,411,351,179,100,12151,110,False,South,110,St Louis
"Feb 16, 2005",Wednesday,57,26,24,24,33,110,358,723,613,614,702,835,906,910,875,923,1040,965,798,471,423,361,206,103,12100,110,False,South,110,St Louis
"Feb 17, 2005",Thursday,61,32,23,25,34,114,362,703,574,669,758,760,944,909,940,910,988,1005,743,550,410,307,219,138,12178,110,False,South,110,St Louis
"Feb 18, 2005",Friday,58,26,29,18,29,103,339,648,559,674,825,1041,1088,1063,1044,1071,1017,991,828,673,480,458,270,199,13531,110,False,South,110,St Louis
"Feb 19, 2005",Saturday,107,53,38,23,21,41,107,151,306,476,827,1024,1104,1171,1273,1225,1088,1008,762,652,444,326,219,204,12650,110,False,South,110,St Louis
"Feb 20, 2005",Sunday,98,44,32,24,18,31,76,117,152,292,391,518,669,636,696,717,584,602,500,327,322,226,147,118,7337,110,False,South,110,St Louis
"Feb 21, 2005",Monday,45,26,26,36,38,92,258,504,463,606,715,922,1048,1106,1049,1071,945,913,754,531,424,340,180,110,12202,110,False,South,110,St Louis
"Feb 22, 2005",Tuesday,49,30,22,24,31,113,340,691,521,639,722,840,927,863,978,862,948,931,728,500,403,354,190,131,11837,110,False,South,110,St Louis
"Feb 23, 2005",Wednesday,60,33,22,28,42,105,332,687,576,615,712,885,937,966,906,924,1001,897,744,632,434,320,236,118,12212,110,True,South,110,St Louis
"Feb 24, 2005",Thursday,69,30,28,24,46,120,308,705,531,645,755,842,981,1022,957,956,1008,966,705,529,427,345,221,153,12373,110,False,South,110,St Louis
"Feb 25, 2005",Friday,78,22,30,22,37,114,297,653,517,652,736,872,962,1050,1060,1066,1036,1005,821,644,535,470,252,186,13117,110,False,South,110,St Louis
"Feb 26, 2005",Saturday,92,53,34,37,24,50,122,180,295,472,738,982,1064,1116,1144,1154,1129,951,785,597,458,359,221,186,12243,110,False,South,110,St Louis
